Wall time,Step,Value
1638608025.8526118,93760,4.806307792663574
1638608028.5477653,93768,4.8134894371032715
1638608109.8771172,94006,5.113953590393066
1638608112.5410063,94014,3.2486398220062256
1638608164.0860095,94166,5.103344440460205
1638608267.407967,94472,4.92511510848999
1638608276.7951238,94501,5.049294948577881
1638608322.4550035,94637,4.939655303955078
1638608402.8929718,94874,5.037198066711426
1638608476.94138,95085,4.921113967895508
1638608528.507682,95238,4.9560346603393555
1638608679.4184368,95689,4.94397497177124
1638608709.778966,95779,4.792750835418701
1638608834.9187622,96149,4.7829742431640625
1638609083.1320155,96884,4.952221870422363
1638609127.267158,97015,4.930959224700928
1638609395.7873542,97808,4.8824782371521
1638609427.4850488,97902,4.839753150939941
1638609572.008287,98326,4.8739800453186035
1638609644.0521913,98540,5.003495216369629
1638609679.9224765,98646,4.785003662109375
1638609816.0868971,99052,4.913048267364502
1638609821.885508,99069,4.836764812469482
1638609833.4113705,99103,4.6775970458984375
1638609840.9909353,99125,4.680635452270508
1638609850.7172472,99154,4.827521800994873
1638609870.6907196,99213,4.813160419464111
1638609914.5892365,99342,4.827563285827637
1638609941.491921,99421,4.815682411193848
1638610133.9171622,99990,4.713090896606445
1638610220.4909818,100241,4.894059181213379
1638610259.9651432,100360,4.928385257720947
1638610283.97131,100432,4.684020042419434
1638610361.7479713,100659,5.014078140258789
1638610388.9622114,100738,4.894598484039307
1638610408.9449344,100797,4.863218307495117
1638610455.8050954,100935,4.814732551574707
1638610512.9280179,101101,4.986511707305908
1638610537.858502,101176,4.896285533905029
1638610584.555216,101316,4.916372776031494
1638610647.1186213,101502,4.856210708618164
1638610696.1922784,101643,5.150366306304932
1638610720.9206886,101716,4.923608303070068
1638610834.5992785,102053,4.851589202880859
1638610870.6122751,102162,4.904773235321045
1638610872.397009,102167,4.91759729385376
1638610900.0082757,102248,4.838230609893799
1638610989.2456787,102510,4.9171223640441895
1638611086.267306,102798,5.079926490783691
1638611089.5120473,102807,4.940313816070557
1638611138.4273038,102950,5.026071548461914
1638611139.8043947,102954,4.732346534729004
1638611166.6887982,103035,4.970359802246094
1638611185.593327,103090,3.4684031009674072
1638611213.1117234,103173,4.964776039123535
1638611235.0675652,103237,4.8872833251953125
1638611291.7085953,103406,4.755089282989502
1638611326.7526255,103509,4.840591907501221
1638611398.5483818,103721,4.593878746032715
1638611465.080406,103918,4.790798187255859
1638611546.7932563,104158,4.8357391357421875
1638611569.4305463,104226,4.665189266204834
1638611591.918344,104291,4.990842342376709
1638611606.422907,104334,4.983242034912109
1638611608.7967062,104341,4.728387832641602
1638611611.00478,104348,3.249774217605591
1638611633.226775,104414,4.830545425415039
1638611650.1336849,104463,3.309622049331665
1638611791.2948341,104877,3.4993419647216797
1638611822.4702177,104968,4.8267502784729
1638611860.4254901,105078,4.896121025085449
1638611883.1769974,105145,4.969171524047852
1638611935.3225136,105299,4.812252998352051
1638612012.7059417,105525,4.860618591308594
1638612037.656975,105597,4.8920464515686035
1638612043.4666145,105614,5.073130130767822
1638612080.3045208,105723,4.90744161605835
1638612092.0687897,105758,4.939560413360596
1638612105.3298478,105799,3.3467965126037598
1638612199.5025308,106075,4.843441486358643
1638612248.1242604,106211,4.956621170043945
1638612282.8921516,106313,5.018528938293457
1638612293.029354,106342,4.910853862762451
1638612300.0441492,106364,2.9807798862457275
1638612340.1051457,106482,4.827934741973877
1638612483.149705,106902,4.9615583419799805
1638612505.873417,106968,4.793863773345947
